PROTID	X20161205_SAMPLE_1_ADJNSAF	X20161205_SAMPLE_11_ADJNSAF	X20161205_SAMPLE_11A_ADJNSAF	X20161205_SAMPLE_12_ADJNSAF	X20161205_SAMPLE_12A_ADJNSAF	X20161205_SAMPLE_16_ADJNSAF	X20161205_SAMPLE_16A_ADJNSAF	X20161205_SAMPLE_19_ADJNSAF	X20161205_SAMPLE_19A_ADJNSAF	X20161205_SAMPLE_1A_ADJNSAF	X20161205_SAMPLE_20_ADJNSAF	X20161205_SAMPLE_20A_ADJNSAF	X20161205_SAMPLE_24_ADJNSAF	X20161205_SAMPLE_24A_ADJNSAF	X20161205_SAMPLE_27_ADJNSAF	X20161205_SAMPLE_27A_ADJNSAF	X20161205_SAMPLE_28_ADJNSAF	X20161205_SAMPLE_28A_ADJNSAF	X20161205_SAMPLE_3_ADJNSAF	X20161205_SAMPLE_32_ADJNSAF	X20161205_SAMPLE_32A_ADJNSAF	X20161205_SAMPLE_35_ADJNSAF	X20161205_SAMPLE_35A_ADJNSAF	X20161205_SAMPLE_36_ADJNSAF	X20161205_SAMPLE_36A_ADJNSAF	X20161205_SAMPLE_3A_ADJNSAF	X20161205_SAMPLE_4_ADJNSAF	X20161205_SAMPLE_40_ADJNSAF	X20161205_SAMPLE_40A_ADJNSAF	X20161205_SAMPLE_43_ADJNSAF	X20161205_SAMPLE_43A_ADJNSAF	X20161205_SAMPLE_44_ADJNSAF	X20161205_SAMPLE_44A_ADJNSAF	X20161205_SAMPLE_48_ADJNSAF	X20161205_SAMPLE_48A_ADJNSAF	X20161205_SAMPLE_4A_ADJNSAF	X20161205_SAMPLE_51_ADJNSAF	X20161205_SAMPLE_51A_ADJNSAF	X20161205_SAMPLE_52_ADJNSAF	X20161205_SAMPLE_52A_ADJNSAF	X20161205_SAMPLE_56_ADJNSAF	X20161205_SAMPLE_56A_ADJNSAF	X20161205_SAMPLE_8_ADJNSAF	X20161205_SAMPLE_8A_ADJNSAF
CHOYP_NFS1.1.1|m.1622	12	9	13	13	16	12	9	10	14	11	12	18	4	7	4	6	13	13	13	9	9	0	0	9	10	11	14	9	8	0	0	5	3	9	9	13	5	2	3	6	6	5	11	13
CHOYP_NHP2.1.1|m.57624	4	2	2	1	4	2	2	3	3	3	1	1	1	2	2	1	4	2	1	1	2	0	0	3	1	2	7	1	2	1	1	1	1	2	1	2	1	1	1	0	2	1	2	3
CHOYP_NID2.1.2|m.5776	1	4	1	4	3	1	2	1	1	1	1	3	1	1	5	2	3	2	3	2	2	2	1	2	1	1	3	2	1	1	1	1	1	1	3	5	2	2	4	2	3	4	4	2
CHOYP_NIPLB.1.1|m.11155	1	1	0	2	0	3	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	2	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0
CHOYP_NIPSNAP3A-B.1.1|m.62397	0	1	2	1	3	2	2	5	5	0	3	4	4	3	0	1	2	2	0	2	2	0	1	0	1	0	0	1	1	1	1	1	1	3	2	2	1	1	1	2	1	1	1	2
CHOYP_NIT2B.1.1|m.18389	5	7	7	5	5	4	6	5	6	8	5	6	6	5	2	4	3	7	6	9	10	0	0	10	6	4	8	10	6	0	0	7	7	6	8	6	3	6	6	4	6	5	4	6
CHOYP_NKRF.1.1|m.61828	3	1	0	2	2	1	1	0	0	0	1	0	0	0	1	0	1	1	3	2	1	0	0	1	1	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	2
CHOYP_NLRC3.1.1|m.57383	2	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	3	1	1	0	1	0	0	2	0	0	3	2	1	0	0	0	0	4	6	2	0	0	4	2	5	4	0	1
CHOYP_NMT2.1.2|m.10421	8	6	10	13	14	10	9	9	11	12	15	14	4	3	11	7	12	15	11	8	7	1	0	7	6	13	8	6	5	4	1	9	7	10	11	13	6	9	8	9	7	7	16	16
CHOYP_BRAFLDRAFT_119363.1.1|m.41627	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0
CHOYP_NOG2.1.1|m.41399	0	1	0	3	1	2	1	4	2	0	2	2	0	0	1	1	3	1	1	0	2	0	1	1	2	1	2	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0
CHOYP_NOL10.1.1|m.1606	0	1	2	1	1	2	1	1	2	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	1
CHOYP_NOL11.1.1|m.6423	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHOYP_NOL5.1.1|m.49429	13	6	9	9	11	6	12	9	12	7	11	13	8	11	7	13	15	13	9	12	16	2	4	16	13	9	13	11	8	7	6	8	8	12	11	11	8	7	9	7	6	15	9	10
CHOYP_NOP56.1.1|m.55664	15	11	14	11	9	11	8	12	15	14	15	13	12	8	12	9	7	11	12	9	9	6	7	15	15	16	15	13	14	6	8	13	9	15	10	16	14	17	14	13	9	10	12	10
CHOYP_NOTC3.1.1|m.20877	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
CHOYP_NPC2.2.7|m.29742	0	4	4	5	5	3	5	5	3	0	6	5	6	4	4	5	5	5	2	1	3	2	2	4	3	2	1	6	4	3	2	4	6	5	4	2	6	4	4	2	6	3	2	3
CHOYP_NPC2.4.7|m.30775	7	4	5	5	5	6	4	6	3	5	5	5	7	6	5	4	4	5	6	5	4	4	3	3	5	3	4	6	4	4	3	7	5	7	4	7	4	6	5	5	4	5	5	5
CHOYP_NPC2.5.7|m.30911	10	7	5	8	4	8	6	7	3	5	8	4	8	5	5	4	8	3	6	9	9	6	6	8	6	5	11	12	8	5	5	7	7	9	9	6	9	8	9	6	8	8	6	4
CHOYP_NPC2.6.7|m.31030	13	41	35	35	33	45	40	41	35	10	32	37	35	33	29	32	56	37	20	32	34	9	12	33	30	22	22	21	30	17	16	27	27	30	39	25	31	33	32	30	39	35	29	30
CHOYP_BRAFLDRAFT_119484.2.3|m.60445	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CHOYP_NPL.1.3|m.4064	4	4	5	5	4	3	1	2	3	3	2	5	5	3	2	2	3	5	4	1	3	1	1	1	2	4	3	0	3	1	1	5	6	3	6	3	5	3	3	4	2	4	5	2
CHOYP_NPL.3.3|m.29352	1	2	2	1	1	2	1	0	2	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	2	1	1	0
CHOYP_NPL4.1.1|m.62114	7	5	4	4	7	4	5	3	5	6	3	3	3	5	1	3	4	5	5	6	7	1	0	7	5	4	5	5	6	3	4	2	4	4	5	5	5	7	2	7	6	7	4	7
CHOYP_NPTN.1.1|m.50315	0	0	1	2	0	1	0	11	8	0	0	1	0	2	0	3	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	2	1	0	0	0	1	1	0	1	1
CHOYP_NRDC.1.1|m.28526	0	1	0	1	3	1	0	2	2	1	1	4	1	2	2	4	5	5	1	1	0	0	1	0	1	2	0	0	0	1	1	5	2	0	0	1	3	0	3	1	1	1	0	0
CHOYP_NRG.1.1|m.10622	9	15	17	13	15	10	10	23	23	13	22	20	10	15	10	17	13	17	16	13	15	0	2	15	15	19	16	3	2	1	1	10	10	8	14	18	0	0	2	2	4	6	18	17
CHOYP_NRP.1.4|m.29956	7	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1
CHOYP_NRP.2.4|m.39720	0	13	13	16	18	17	22	19	18	0	14	14	13	17	11	16	12	18	12	13	16	4	2	9	13	15	5	14	16	6	7	8	13	18	19	5	11	10	7	10	8	10	17	16
CHOYP_NRX4.1.1|m.8135	3	8	11	7	9	9	9	18	12	2	9	10	7	7	4	4	6	9	8	11	6	1	1	5	3	5	2	9	10	3	3	11	8	11	17	3	4	4	4	5	6	9	6	5
CHOYP_NSF1C.1.1|m.62502	10	10	11	11	13	7	10	11	13	13	10	13	8	11	11	9	11	15	12	12	18	7	5	13	14	10	12	13	11	7	6	11	9	10	11	12	8	9	9	10	10	12	13	13
CHOYP_BRAFLDRAFT_119616.1.1|m.31670	5	4	7	5	7	5	6	5	6	4	6	7	2	4	2	5	4	5	2	5	8	0	6	7	3	4	2	4	6	0	5	3	5	5	7	5	2	7	4	9	8	6	3	7
CHOYP_NSUN2.1.1|m.14138	2	3	6	13	8	7	3	4	8	3	4	7	2	2	7	4	7	9	7	7	7	1	0	10	9	8	7	4	5	1	0	2	4	1	2	7	7	9	6	10	4	3	5	5
CHOYP_NTF-2.1.1|m.38498	3	3	3	2	5	4	5	3	4	2	4	4	3	4	2	4	5	4	4	5	4	0	0	3	2	3	5	5	4	0	1	4	3	3	4	2	3	3	3	4	4	6	3	3
CHOYP_NTM1A.1.1|m.614	1	2	2	1	1	3	1	1	1	1	2	1	1	1	1	1	0	2	1	2	2	0	0	2	1	1	2	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
CHOYP_NU107.1.2|m.46092	7	12	6	12	7	12	3	7	6	7	9	6	6	0	5	2	9	3	6	8	5	1	1	6	5	7	5	7	6	4	1	3	3	4	2	6	4	7	4	3	6	4	7	3
CHOYP_NU160.1.1|m.46155	6	11	9	11	5	10	6	5	7	6	7	5	3	2	4	4	7	5	8	8	6	0	0	7	8	8	6	5	6	2	2	6	5	8	2	7	5	5	6	3	5	2	11	6
CHOYP_NU188.2.2|m.51343	0	1	1	1	0	2	2	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	2	0	0	1	0	1	1	0
CHOYP_NUBP1.1.1|m.65721	3	1	3	3	2	1	5	3	2	3	2	3	1	4	2	2	3	3	2	2	4	4	4	3	2	4	3	3	3	1	2	1	1	3	4	3	4	3	2	3	3	3	3	3
CHOYP_NUD16.1.2|m.10250	1	4	3	3	2	5	1	3	3	3	3	1	1	1	2	0	4	1	3	0	1	0	0	1	1	2	4	2	1	0	1	1	0	2	4	1	4	2	3	2	0	1	1	1
CHOYP_NUDT14.1.1|m.64313	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	2	3	0	0	0	0
CHOYP_NUMB.1.1|m.19732	3	1	3	0	2	1	4	2	4	3	5	2	0	2	0	0	1	1	3	1	1	0	0	3	1	3	3	1	2	0	0	0	1	0	2	3	0	0	0	1	2	1	0	4
CHOYP_BRAFLDRAFT_119774.4.4|m.33349	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHOYP_NUP205.1.1|m.54932	13	15	12	15	17	13	11	8	11	12	10	14	8	13	8	10	9	14	15	2	9	0	2	7	8	9	19	2	8	4	10	9	9	13	13	15	8	12	14	7	6	7	12	14
CHOYP_NUP54.1.1|m.24886	0	2	2	3	1	1	2	1	1	3	3	1	2	2	0	1	1	1	2	1	2	0	0	0	1	2	2	0	1	0	2	1	1	2	2	1	3	2	1	2	1	0	3	3
CHOYP_NUP62L.1.1|m.15606	6	6	3	3	3	5	3	3	4	5	4	6	5	5	4	3	5	4	5	3	4	0	0	6	5	4	4	6	5	2	0	3	2	5	3	2	7	3	7	6	5	2	4	5
CHOYP_NUP85.1.1|m.16167	1	0	0	2	4	2	2	1	0	1	1	2	1	1	1	1	1	1	2	1	1	0	0	3	0	1	1	2	2	1	1	1	0	1	2	0	1	0	3	1	0	0	0	1
CHOYP_NUP98.1.1|m.8689	6	7	7	9	11	5	10	4	6	9	9	8	5	6	2	3	2	8	6	5	2	1	1	4	5	7	10	5	4	2	2	5	4	8	7	9	5	4	4	6	6	3	9	6
CHOYP_NXF1.1.2|m.28017	0	1	0	1	2	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2
CHOYP_OAT.1.1|m.3069	33	35	40	39	34	30	35	35	36	28	36	32	29	22	29	26	28	35	39	38	30	10	14	32	33	43	49	34	30	12	11	27	24	27	33	40	29	36	25	31	29	26	44	37
CHOYP_OCDH.1.1|m.1284	3	5	4	4	4	4	6	4	6	5	6	6	1	2	1	3	7	2	3	5	4	0	0	2	4	5	5	5	5	0	1	3	7	7	9	5	4	6	5	9	7	7	4	4
CHOYP_ODH.1.2|m.1327	13	10	8	6	8	7	5	3	6	13	6	4	3	2	3	2	1	4	12	2	3	0	0	6	2	9	11	8	6	0	0	2	3	2	5	14	3	3	2	1	2	6	11	8
CHOYP_ODH.2.2|m.16624	8	3	2	5	6	4	0	3	3	6	4	5	5	2	4	2	3	2	2	2	5	0	0	4	3	6	9	5	1	2	2	3	2	3	8	8	3	4	6	3	3	3	5	5
CHOYP_BRAFLDRAFT_119799.1.1|m.23765	35	24	18	23	31	27	27	20	21	44	22	23	23	20	19	19	23	24	29	31	29	4	8	29	29	29	33	25	27	10	9	15	14	24	30	36	23	21	17	19	31	36	26	32
CHOYP_ODPX.1.1|m.29097	4	5	3	6	5	6	5	3	4	7	5	4	7	6	4	4	5	4	6	5	8	0	1	4	3	5	5	4	6	1	0	3	2	6	3	5	3	3	2	3	2	3	4	5
CHOYP_ORC1.1.2|m.17178	2	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1
CHOYP_OS11G0657400.1.2|m.24816	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CHOYP_OSBL9.1.2|m.17667	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1
CHOYP_OSGEP.1.1|m.29582	1	2	0	2	2	1	1	1	1	1	1	1	2	2	0	0	0	0	2	0	1	0	0	1	0	1	1	2	0	0	0	1	0	1	0	2	0	0	0	0	2	0	1	1
CHOYP_OST48.1.1|m.43513	2	2	2	3	2	1	1	13	14	3	2	2	3	3	2	1	3	2	1	2	2	1	1	1	2	2	2	2	3	0	0	2	1	3	2	3	0	1	0	0	2	2	2	2
CHOYP_OTER_1386.1.1|m.15303	2	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	2	0	2	0	0	0	0	1	1	0	0	2	0	0	1	1	0	0
CHOYP_OTUB1.1.1|m.29705	2	2	4	4	3	2	3	5	4	3	5	3	4	4	5	2	4	3	4	3	3	0	0	3	3	3	4	2	4	3	3	4	2	5	4	5	3	4	3	3	3	4	6	3
CHOYP_OXDD.1.4|m.2688	2	5	4	5	4	4	3	4	3	3	4	6	5	4	2	6	4	6	5	2	1	2	2	2	2	5	4	1	1	2	2	6	4	5	5	5	4	1	4	6	2	4	4	4
CHOYP_P20D2.1.2|m.9005	1	3	2	2	3	4	1	3	3	3	3	2	2	2	2	1	4	3	2	2	4	1	0	3	2	2	5	4	2	1	0	1	3	2	2	3	3	3	5	2	3	1	2	2
CHOYP_AAEL_AAEL011814.1.1|m.48797	1	2	0	0	2	1	0	0	0	1	0	1	1	1	1	0	2	2	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1
CHOYP_BRAFLDRAFT_119901.1.1|m.7089	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	2	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	2	0	1
CHOYP_P20D2.1.2|m.9006	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	1
CHOYP_P4R3A.1.1|m.1043	3	5	4	7	5	0	4	4	4	6	4	6	3	4	0	1	2	5	5	2	2	0	0	2	1	3	5	1	1	0	1	0	1	0	3	4	1	2	0	2	2	3	3	7
CHOYP_P66A.1.1|m.22279	9	10	9	9	12	8	7	9	7	7	8	10	6	9	4	5	6	11	11	7	6	0	0	9	8	9	10	4	6	1	1	1	4	6	5	7	6	5	4	5	4	6	10	8
CHOYP_PA1B2.1.2|m.10637	0	1	1	1	1	0	1	1	1	2	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	2	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	1	1
CHOYP_PABP2.1.1|m.12768	11	7	10	9	9	8	6	9	7	9	8	4	7	4	5	4	9	6	9	3	3	0	0	6	3	10	9	4	4	2	2	7	3	6	6	8	7	4	8	6	7	5	9	9
CHOYP_PAK1.1.1|m.50796	13	8	10	14	11	6	8	12	16	12	11	13	5	5	5	10	13	15	8	15	15	3	3	14	11	10	8	13	15	7	6	8	9	16	14	8	6	8	5	10	15	17	12	11
CHOYP_PAN2.1.1|m.44690	14	17	18	24	32	18	20	22	25	19	22	28	16	14	18	13	28	27	22	19	19	2	1	25	26	21	19	16	12	10	10	23	17	20	22	24	21	18	26	25	12	20	16	23
CHOYP_PANG1.1.2|m.10756	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
CHOYP_PAPOG.1.2|m.33182	1	0	1	0	5	2	4	0	2	4	0	4	0	3	0	0	0	0	1	2	4	0	0	0	5	1	2	3	0	0	0	1	1	0	2	1	1	1	0	2	0	4	3	5
CHOYP_PAPSS.1.1|m.53055	14	15	9	12	12	10	13	12	12	12	11	9	11	12	7	4	17	10	13	13	11	0	1	14	13	17	13	21	13	4	3	4	7	10	12	10	10	10	15	7	13	11	10	11
CHOYP_BRAFLDRAFT_119906.1.1|m.45319	2	1	1	3	1	2	1	0	1	2	1	1	0	1	2	0	0	0	1	2	3	0	0	0	0	2	3	2	3	0	0	0	1	0	2	2	0	1	2	0	1	1	3	2
CHOYP_PAR14.15.17|m.60687	6	5	5	6	8	6	7	7	7	3	7	5	4	7	5	7	6	6	3	5	4	0	0	5	5	3	4	6	5	2	4	6	5	7	5	2	4	11	3	3	3	7	4	3
CHOYP_PARG.1.1|m.24813	4	3	3	4	2	1	1	2	1	4	1	1	1	1	1	1	1	4	3	6	2	0	0	3	2	2	5	2	2	0	0	1	1	3	3	4	2	3	3	4	2	2	1	2
CHOYP_PARN.1.1|m.19023	2	3	3	6	0	0	3	4	2	2	0	4	1	1	4	2	0	4	4	1	2	1	0	2	4	1	1	0	1	3	3	4	3	3	4	4	3	4	1	3	2	1	3	2
CHOYP_PARP12.1.2|m.42887	3	0	0	2	0	1	0	0	2	3	2	1	0	0	0	0	1	2	1	1	1	0	0	2	0	2	2	1	0	0	0	0	0	2	3	4	0	0	0	0	0	1	1	3
CHOYP_PAX2A.1.2|m.10577	1	2	1	2	1	1	2	1	1	5	1	1	3	2	0	2	1	1	1	0	1	0	0	0	0	2	2	1	2	0	0	1	1	0	0	1	0	1	1	1	1	1	2	1
CHOYP_PC11X.1.2|m.24796	0	0	0	0	0	2	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0
CHOYP_PC2.1.2|m.34945	0	1	1	1	2	0	0	1	1	0	1	1	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	1	0	0	0	0	1	2
CHOYP_PCCB.1.2|m.3057	3	4	6	6	2	2	3	2	2	3	4	2	2	2	2	2	4	3	4	2	0	1	1	2	0	4	5	4	0	2	2	1	1	2	4	3	1	2	3	3	1	2	6	6
CHOYP_PCDH7.1.3|m.6236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
CHOYP_PCF11.1.1|m.49191	2	1	0	2	1	2	1	2	2	1	1	0	3	2	0	1	1	1	1	1	2	0	0	1	2	1	1	2	2	0	2	1	2	1	1	1	1	3	1	2	2	2	3	1
CHOYP_BRAFLDRAFT_119906.1.1|m.45320	2	2	2	2	2	2	3	1	2	3	2	2	0	1	1	1	1	2	1	2	2	0	0	2	2	2	3	1	2	0	0	0	1	2	1	2	1	0	2	1	2	2	1	2
CHOYP_PCID2.1.1|m.28679	0	0	1	1	3	1	1	1	1	1	1	3	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	2	2	2	1	1	0	1	1	0	0	1
CHOYP_PCP.1.1|m.59309	6	5	6	4	6	6	2	3	4	6	6	5	3	0	3	1	3	4	6	4	5	1	2	4	4	6	7	3	6	1	0	1	3	5	8	5	3	3	7	1	4	5	6	5
CHOYP_PDCL3.1.1|m.7323	2	5	4	4	4	5	3	5	5	3	4	6	5	4	5	5	6	4	3	3	5	0	0	2	4	4	5	5	5	2	1	4	4	5	6	3	4	4	3	5	5	5	3	4
CHOYP_PDE6D.1.2|m.6439	2	2	2	3	3	2	2	3	3	2	3	2	2	1	2	2	2	3	3	0	1	0	0	1	0	2	2	1	1	1	2	0	2	3	3	2	2	2	3	2	1	1	2	2
CHOYP_PDHA1.1.1|m.42807	20	18	21	20	22	17	19	21	23	18	19	25	14	13	12	20	23	22	20	20	18	5	6	19	18	21	21	16	19	4	6	17	17	23	22	18	17	14	14	17	16	14	17	20
CHOYP_PDIA6.1.2|m.9012	29	24	26	31	29	38	29	34	30	31	31	31	27	33	24	28	31	29	35	37	26	24	21	30	35	30	37	35	33	22	14	29	27	43	44	27	25	28	30	35	42	39	32	30
CHOYP_PDS5B.1.1|m.16690	0	0	1	1	1	1	1	1	1	0	2	4	2	4	3	1	0	2	0	1	0	0	0	1	2	0	0	1	0	0	0	0	1	2	1	2	1	1	0	1	0	2	2	1
CHOYP_PDXDC1.1.1|m.11298	0	3	3	6	5	3	6	4	5	6	4	6	2	4	3	4	2	4	4	2	1	0	0	2	0	2	1	2	2	3	3	3	3	5	4	5	0	3	2	3	3	3	3	3
CHOYP_PDXK.1.1|m.14904	6	6	2	6	4	2	5	5	5	5	2	3	8	3	5	4	1	4	5	7	9	2	2	5	8	5	3	5	6	4	3	4	4	5	3	4	4	3	3	4	10	3	5	6
CHOYP_PECR.1.1|m.58859	2	2	2	2	1	3	1	1	1	0	1	1	0	0	1	1	2	2	1	2	0	0	0	1	1	1	2	1	2	0	0	1	0	1	1	1	0	0	0	0	1	1	1	2
CHOYP_BRAFLDRAFT_119955.1.1|m.16485	3	1	1	1	0	1	1	1	1	3	1	1	1	1	1	1	3	1	3	2	0	1	1	2	1	1	2	2	2	1	0	1	1	0	1	2	2	0	1	0	1	2	1	0
CHOYP_PEPM.1.1|m.14235	13	12	13	13	15	14	9	13	13	13	14	16	13	14	10	6	11	16	12	7	15	0	0	11	16	14	16	10	10	2	2	11	9	9	13	13	13	11	8	7	12	12	11	12
CHOYP_PESC.1.1|m.16875	0	4	5	5	7	4	6	6	6	5	6	6	5	6	3	4	5	7	4	5	4	1	0	4	4	5	2	2	4	4	4	5	7	4	8	4	6	5	6	7	3	5	2	6
CHOYP_PEX2.2.2|m.26981	1	3	4	2	2	1	1	3	2	1	2	3	2	2	2	2	2	3	1	0	1	2	1	2	0	0	0	0	0	1	2	3	3	0	2	1	1	2	1	3	2	2	1	3
CHOYP_PFD3.1.1|m.56418	9	5	6	9	8	5	7	9	8	7	7	8	7	8	5	5	6	9	7	6	8	2	3	4	9	10	4	6	9	4	4	7	8	5	8	9	4	8	5	7	6	4	7	7
CHOYP_PGDH.3.5|m.36973	5	4	4	3	2	1	3	2	2	4	3	2	3	1	4	1	4	1	5	3	3	1	0	6	3	6	6	2	5	2	1	1	1	4	1	4	4	2	5	1	6	2	3	4
CHOYP_PGK1.1.1|m.27254	35	30	26	31	29	29	33	25	29	32	27	33	30	31	26	26	35	34	28	32	37	16	16	37	36	26	37	39	31	15	19	25	29	31	30	32	33	27	29	30	29	29	28	32
CHOYP_PGM1.1.1|m.38482	14	14	14	19	17	15	13	15	17	16	15	14	11	12	8	10	18	17	11	13	16	3	2	11	11	11	12	15	13	8	9	11	12	17	17	12	13	16	13	14	17	16	16	13
CHOYP_PGM2.1.1|m.65095	10	10	11	13	16	11	12	11	12	9	12	15	8	9	6	5	9	10	10	11	10	2	4	10	11	9	9	14	14	5	5	8	9	14	9	14	9	7	9	14	13	14	10	16
CHOYP_PGTG_12376.1.2|m.43330	0	1	0	0	1	1	1	0	0	0	0	2	1	0	0	1	0	0	0	0	2	0	0	0	0	2	1	2	3	0	1	3	2	3	4	2	2	2	1	2	2	5	0	2
CHOYP_PHATRDRAFT_43152.1.1|m.15003	9	11	7	8	10	8	7	8	10	11	10	9	8	8	6	8	10	11	10	12	9	1	2	11	10	10	12	12	10	0	2	8	9	9	8	9	9	10	7	7	9	9	8	10
CHOYP_BRAFLDRAFT_120433.1.1|m.66614	2	1	0	2	1	0	0	6	7	0	1	0	2	1	3	0	2	3	1	0	1	0	0	1	2	1	2	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1
CHOYP_PHF10.1.1|m.6981	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	1	1	1	0	0	0	0	0
CHOYP_PHF14.1.1|m.27257	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
CHOYP_PHF5A.1.1|m.32389	4	1	1	3	3	1	2	1	2	1	2	2	1	2	1	2	2	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	2
CHOYP_PHLP.1.1|m.25742	0	0	2	1	2	2	2	2	2	1	1	1	0	2	1	2	4	2	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	2	1	0	1	0	0	1	1
CHOYP_PHOCN.1.1|m.40660	1	2	1	2	2	1	1	2	1	2	1	0	1	2	0	2	2	1	1	0	1	0	0	1	0	1	3	1	0	0	0	1	0	1	2	1	1	1	1	1	0	1	2	2
CHOYP_PHUM_PHUM035190.1.1|m.16675	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHOYP_PHUM_PHUM060390.1.1|m.12993	2	2	0	2	1	0	1	1	1	2	0	1	0	2	0	1	3	2	1	3	0	0	0	4	2	1	4	4	5	0	0	2	4	0	1	1	1	1	2	3	2	2	2	2
CHOYP_PHUM_PHUM068980.4.5|m.56739	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
