PROTID	X20161205_SAMPLE_1_ADJNSAF	X20161205_SAMPLE_11_ADJNSAF	X20161205_SAMPLE_11A_ADJNSAF	X20161205_SAMPLE_12_ADJNSAF	X20161205_SAMPLE_12A_ADJNSAF	X20161205_SAMPLE_16_ADJNSAF	X20161205_SAMPLE_16A_ADJNSAF	X20161205_SAMPLE_19_ADJNSAF	X20161205_SAMPLE_19A_ADJNSAF	X20161205_SAMPLE_1A_ADJNSAF	X20161205_SAMPLE_20_ADJNSAF	X20161205_SAMPLE_20A_ADJNSAF	X20161205_SAMPLE_24_ADJNSAF	X20161205_SAMPLE_24A_ADJNSAF	X20161205_SAMPLE_27_ADJNSAF	X20161205_SAMPLE_27A_ADJNSAF	X20161205_SAMPLE_28_ADJNSAF	X20161205_SAMPLE_28A_ADJNSAF	X20161205_SAMPLE_3_ADJNSAF	X20161205_SAMPLE_32_ADJNSAF	X20161205_SAMPLE_32A_ADJNSAF	X20161205_SAMPLE_35_ADJNSAF	X20161205_SAMPLE_35A_ADJNSAF	X20161205_SAMPLE_36_ADJNSAF	X20161205_SAMPLE_36A_ADJNSAF	X20161205_SAMPLE_3A_ADJNSAF	X20161205_SAMPLE_4_ADJNSAF	X20161205_SAMPLE_40_ADJNSAF	X20161205_SAMPLE_40A_ADJNSAF	X20161205_SAMPLE_43_ADJNSAF	X20161205_SAMPLE_43A_ADJNSAF	X20161205_SAMPLE_44_ADJNSAF	X20161205_SAMPLE_44A_ADJNSAF	X20161205_SAMPLE_48_ADJNSAF	X20161205_SAMPLE_48A_ADJNSAF	X20161205_SAMPLE_4A_ADJNSAF	X20161205_SAMPLE_51_ADJNSAF	X20161205_SAMPLE_51A_ADJNSAF	X20161205_SAMPLE_52_ADJNSAF	X20161205_SAMPLE_52A_ADJNSAF	X20161205_SAMPLE_56_ADJNSAF	X20161205_SAMPLE_56A_ADJNSAF	X20161205_SAMPLE_8_ADJNSAF	X20161205_SAMPLE_8A_ADJNSAF
CHOYP_GDAP2.1.1|m.57049	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1
CHOYP_GDE.1.1|m.54948	4	8	7	11	7	8	5	7	8	6	7	5	4	3	5	5	11	7	5	3	4	0	0	12	7	6	2	7	6	9	3	6	4	6	6	10	10	11	8	10	8	4	6	6
CHOYP_GELS2.2.2|m.30443	62	61	57	54	62	51	60	49	51	58	57	56	60	60	51	53	55	51	59	77	74	43	40	77	80	56	62	96	84	48	51	64	67	73	74	67	67	65	70	68	96	75	56	64
CHOYP_GEMIN5.2.2|m.59078	0	1	0	0	0	3	1	1	0	1	0	2	0	1	0	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0
CHOYP_AMDHD2.2.2|m.52160	1	2	2	2	2	2	2	1	1	1	1	3	2	1	1	1	2	2	1	0	0	0	0	0	1	1	1	0	0	0	2	1	2	2	2	1	0	1	1	0	0	0	1	2
CHOYP_GEPH.1.2|m.49093	6	7	4	9	6	4	4	5	5	7	4	7	2	3	2	4	4	7	5	4	6	1	0	4	5	6	7	2	4	2	0	3	4	5	6	7	2	3	2	4	6	4	8	5
CHOYP_GFM2.1.1|m.18396	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
CHOYP_GGPPS.1.1|m.12124	1	0	2	3	3	1	2	1	2	1	2	2	1	0	1	0	1	1	2	4	3	0	0	3	2	2	1	3	2	0	0	0	3	2	2	2	1	2	2	1	4	4	2	2
CHOYP_GIGA2.1.1|m.44916	0	6	11	8	14	8	11	10	10	0	11	12	5	7	5	4	13	12	6	4	7	0	1	9	8	6	0	9	9	0	2	4	4	9	9	0	6	8	4	8	7	6	11	10
CHOYP_GIGA3.1.1|m.42774	0	0	0	0	0	2	1	1	1	0	1	1	2	1	1	1	0	1	0	2	3	0	0	1	1	0	0	2	1	1	1	2	1	2	3	0	1	3	2	1	1	2	0	0
CHOYP_GIPC1.1.1|m.60630	15	14	13	21	21	17	23	14	20	15	19	17	14	15	12	17	22	19	14	17	21	6	8	13	17	17	15	9	19	3	6	13	11	14	20	18	17	14	16	9	17	18	18	17
CHOYP_GIT1.1.2|m.26059	0	3	6	5	8	9	4	3	4	3	5	2	3	4	3	6	6	3	1	7	8	0	0	7	7	4	4	4	4	3	3	3	2	12	7	5	11	8	11	8	9	9	4	4
CHOYP_GLCM.2.3|m.40511	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	3	1	0	0	0	2	1	2	1	0	0	1	1	1	0	2	2
CHOYP_GLIPR1L1.1.1|m.41745	0	2	3	2	2	5	4	6	8	0	7	8	5	5	1	3	7	10	0	10	9	1	1	8	9	0	0	10	10	2	3	7	7	15	12	0	7	5	6	7	15	12	0	0
CHOYP_GLO1.1.1|m.32382	3	2	1	2	4	3	4	3	2	2	2	2	2	4	2	3	1	3	3	1	0	0	0	0	1	2	3	2	0	1	1	1	1	2	3	3	1	0	3	2	2	2	1	1
CHOYP_AMO.1.5|m.28337	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
CHOYP_GLRX3.1.1|m.63529	10	8	10	8	12	14	8	7	9	12	6	12	6	8	7	7	15	11	3	8	13	3	3	8	13	9	12	9	10	4	3	6	7	8	12	9	11	8	9	8	11	11	9	9
CHOYP_GMDS.1.1|m.28602	14	13	9	15	15	10	12	11	13	12	14	13	11	8	10	12	16	13	10	8	10	2	2	11	9	11	17	17	12	5	7	6	11	11	14	15	13	6	13	10	10	12	10	12
CHOYP_GMFB.2.2|m.54955	2	3	3	4	2	6	6	2	5	2	4	2	4	3	4	3	5	3	3	3	1	3	3	4	1	3	3	3	1	7	5	3	3	3	4	4	7	4	8	5	2	2	4	3
CHOYP_GMPAA.1.1|m.1432	3	7	6	8	10	8	10	6	9	5	10	9	7	7	5	8	4	11	6	7	9	0	1	6	7	6	7	6	6	1	2	5	7	8	9	4	8	7	9	6	6	6	10	7
CHOYP_GMPR2.1.1|m.63274	11	5	10	9	12	11	9	12	11	9	12	12	10	10	9	10	16	13	8	11	9	3	3	9	7	8	12	12	8	9	8	7	8	12	14	10	8	6	12	8	8	12	8	10
CHOYP_GNAI.1.1|m.26096	3	1	0	0	0	2	1	1	2	4	2	2	1	0	2	1	2	1	1	2	1	1	0	2	2	1	5	2	2	1	1	1	1	2	4	3	0	0	2	0	0	2	1	3
CHOYP_GNAO.1.1|m.37355	3	1	0	2	2	0	1	2	6	0	2	0	1	0	2	1	0	1	1	0	1	0	1	2	2	0	1	2	2	1	1	0	1	1	1	1	0	0	1	1	1	2	1	0
CHOYP_GNAQ.1.1|m.20698	2	1	3	3	5	1	0	9	7	2	4	3	1	2	2	3	0	2	3	0	0	0	0	0	0	3	5	1	1	2	1	3	2	3	4	5	1	0	1	1	0	1	3	2
CHOYP_GNBPB3.1.1|m.55379	10	11	14	14	14	15	16	14	15	9	19	14	16	12	11	15	10	14	11	19	15	8	4	15	13	11	10	20	20	6	6	19	15	17	23	10	19	14	21	16	17	24	11	12
